,n,Training,Testing
0,1,0.567287784679089,0.5193798449612403
1,2,0.567287784679089,0.5193798449612403
2,3,0.5455486542443064,0.49767441860465117
3,4,0.5740165631469979,0.5333333333333333
4,5,0.5709109730848861,0.5534883720930233
5,6,0.5709109730848861,0.5534883720930233
6,7,0.5709109730848861,0.5534883720930233
7,8,0.5626293995859213,0.5364341085271318
8,9,0.556935817805383,0.5255813953488372
9,10,0.5854037267080745,0.5488372093023256
10,11,0.5802277432712215,0.5457364341085271
11,12,0.5864389233954451,0.5457364341085271
12,13,0.5838509316770186,0.5457364341085271
13,14,0.5838509316770186,0.5457364341085271
14,15,0.5874741200828157,0.5519379844961241
15,16,0.5874741200828157,0.5519379844961241
16,17,0.5874741200828157,0.5519379844961241
17,18,0.5822981366459627,0.5488372093023256
18,19,0.5843685300207039,0.5550387596899224
19,20,0.5843685300207039,0.5550387596899224
20,21,0.5812629399585921,0.5643410852713179
21,22,0.5838509316770186,0.5674418604651162
22,23,0.5874741200828157,0.5720930232558139
23,24,0.5916149068322981,0.5813953488372093
24,25,0.5967908902691511,0.5844961240310077
25,26,0.5890269151138716,0.5782945736434109
26,27,0.5916149068322981,0.5720930232558139
27,28,0.5926501035196687,0.5736434108527132
28,29,0.5936853002070394,0.5736434108527132
29,30,0.5916149068322981,0.5736434108527132
30,31,0.5900621118012422,0.5751937984496124
31,32,0.5797101449275363,0.5689922480620155
32,33,0.5797101449275363,0.5689922480620155
33,34,0.5797101449275363,0.5689922480620155
34,35,0.5905797101449275,0.5813953488372093
35,36,0.5905797101449275,0.5813953488372093
36,37,0.5905797101449275,0.5813953488372093
37,38,0.5905797101449275,0.5813953488372093
38,39,0.5905797101449275,0.5813953488372093
39,40,0.5905797101449275,0.5813953488372093
40,41,0.5905797101449275,0.5813953488372093
41,42,0.5905797101449275,0.5813953488372093
42,43,0.5905797101449275,0.5813953488372093
43,44,0.5905797101449275,0.5813953488372093
44,45,0.5905797101449275,0.5813953488372093
45,46,0.5905797101449275,0.5813953488372093
46,47,0.5905797101449275,0.5813953488372093
47,48,0.5905797101449275,0.5813953488372093
48,49,0.5905797101449275,0.5813953488372093
49,50,0.5905797101449275,0.5813953488372093
50,51,0.5905797101449275,0.5813953488372093
51,52,0.5905797101449275,0.5813953488372093
52,53,0.5905797101449275,0.5813953488372093
53,54,0.5905797101449275,0.5813953488372093
54,55,0.5905797101449275,0.5813953488372093
55,56,0.5905797101449275,0.5813953488372093
56,57,0.5905797101449275,0.5813953488372093
57,58,0.5905797101449275,0.5813953488372093
58,59,0.5905797101449275,0.5813953488372093
59,60,0.5905797101449275,0.5813953488372093
60,61,0.5905797101449275,0.5813953488372093
61,62,0.5905797101449275,0.5813953488372093
62,63,0.5905797101449275,0.5813953488372093
63,64,0.5905797101449275,0.5813953488372093
64,65,0.5905797101449275,0.5813953488372093
65,66,0.5905797101449275,0.5813953488372093
66,67,0.5905797101449275,0.5813953488372093
67,68,0.5905797101449275,0.5813953488372093
68,69,0.5905797101449275,0.5813953488372093
69,70,0.5905797101449275,0.5813953488372093
70,71,0.5905797101449275,0.5813953488372093
71,72,0.5905797101449275,0.5813953488372093
72,73,0.5905797101449275,0.5813953488372093
73,74,0.5905797101449275,0.5813953488372093
74,75,0.5905797101449275,0.5813953488372093
