epoch,training_accuracy,training_loss,test_accuracy,test_loss,model
0,0.7430555820465088,0.5593191981315613,0.7699530720710754,0.4829410910606384,Neural Network
1,0.7615740895271301,0.5318355560302734,0.7840375304222107,0.4813431203365326,Neural Network
2,0.7476851940155029,0.547447681427002,0.7746478915214539,0.49972301721572876,Neural Network
3,0.7731481194496155,0.5272983908653259,0.7840375304222107,0.47657278180122375,Neural Network
4,0.7615740895271301,0.5301470756530762,0.7934272289276123,0.47866198420524597,Neural Network
5,0.7754629850387573,0.5186551213264465,0.7887324094772339,0.47940075397491455,Neural Network
6,0.7453703880310059,0.533444344997406,0.7981220483779907,0.46985286474227905,Neural Network
7,0.7569444179534912,0.5354334712028503,0.7840375304222107,0.47601205110549927,Neural Network
8,0.7662037014961243,0.5276090502738953,0.7887324094772339,0.47114256024360657,Neural Network
9,0.7638888955116272,0.533455491065979,0.7793427109718323,0.5107402801513672,Neural Network
10,0.7268518805503845,0.5589818358421326,0.7934272289276123,0.4710618853569031,Neural Network
11,0.7662037014961243,0.5226886868476868,0.7981220483779907,0.4683842062950134,Neural Network
12,0.7592592835426331,0.5246867537498474,0.7934272289276123,0.47052451968193054,Neural Network
13,0.7615740895271301,0.5211074352264404,0.7887324094772339,0.47280997037887573,Neural Network
14,0.7384259104728699,0.5605857372283936,0.737089216709137,0.49904200434684753,Neural Network
15,0.7569444179534912,0.527997612953186,0.7746478915214539,0.5061376690864563,Neural Network
16,0.7592592835426331,0.5277135372161865,0.7934272289276123,0.47247451543807983,Neural Network
17,0.7777777910232544,0.510640025138855,0.7934272289276123,0.4722515940666199,Neural Network
18,0.7754629850387573,0.5173728466033936,0.8075117468833923,0.4648657739162445,Neural Network
19,0.7662037014961243,0.5169674754142761,0.8028169274330139,0.47229433059692383,Neural Network
20,0.7638888955116272,0.5145140290260315,0.7981220483779907,0.46772822737693787,Neural Network
21,0.7523148059844971,0.5232483744621277,0.7793427109718323,0.475742906332016,Neural Network
22,0.7615740895271301,0.5184250473976135,0.7934272289276123,0.47455617785453796,Neural Network
23,0.7824074029922485,0.5115401148796082,0.7840375304222107,0.47529083490371704,Neural Network
24,0.7685185074806213,0.514101505279541,0.7934272289276123,0.46628183126449585,Neural Network
25,0.7638888955116272,0.5172304511070251,0.7981220483779907,0.46781566739082336,Neural Network
26,0.7731481194496155,0.5124292969703674,0.7417840361595154,0.5090201497077942,Neural Network
27,0.7430555820465088,0.5369270443916321,0.7981220483779907,0.4643324613571167,Neural Network
28,0.7731481194496155,0.50996994972229,0.7558685541152954,0.4943264126777649,Neural Network
29,0.7754629850387573,0.5093473792076111,0.8028169274330139,0.46087729930877686,Neural Network
30,0.7662037014961243,0.5119546055793762,0.8028169274330139,0.46087580919265747,Neural Network
