,n,Training,Testing
0,1,0.4420289855072464,0.4604651162790698
1,2,0.4420289855072464,0.4604651162790698
2,3,0.4601449275362319,0.4728682170542636
3,4,0.5170807453416149,0.5395348837209303
4,5,0.5357142857142857,0.5472868217054263
5,6,0.5393374741200828,0.5534883720930233
6,7,0.5460662525879917,0.5612403100775194
7,8,0.5781573498964804,0.5813953488372093
8,9,0.6092132505175983,0.6
9,10,0.620600414078675,0.6139534883720931
10,11,0.620600414078675,0.6139534883720931
11,12,0.620600414078675,0.6139534883720931
12,13,0.620600414078675,0.6139534883720931
13,14,0.6133540372670807,0.6031007751937985
14,15,0.6138716356107661,0.6031007751937985
15,16,0.6133540372670807,0.6031007751937985
16,17,0.6133540372670807,0.6031007751937985
17,18,0.6133540372670807,0.6031007751937985
18,19,0.6133540372670807,0.6031007751937985
19,20,0.6133540372670807,0.6031007751937985
20,21,0.6133540372670807,0.6031007751937985
21,22,0.6133540372670807,0.6031007751937985
22,23,0.6133540372670807,0.6031007751937985
23,24,0.6133540372670807,0.6031007751937985
24,25,0.6169772256728778,0.6093023255813953
25,26,0.6169772256728778,0.6093023255813953
26,27,0.6040372670807453,0.5968992248062015
27,28,0.593167701863354,0.5922480620155038
28,29,0.5978260869565217,0.5906976744186047
29,30,0.6195652173913043,0.6248062015503876
30,31,0.6180124223602484,0.6232558139534884
31,32,0.6180124223602484,0.6232558139534884
32,33,0.6180124223602484,0.6232558139534884
33,34,0.6221532091097308,0.6232558139534884
34,35,0.6221532091097308,0.6232558139534884
35,36,0.6195652173913043,0.6356589147286822
36,37,0.6076604554865425,0.627906976744186
37,38,0.6061076604554866,0.627906976744186
38,39,0.6081780538302277,0.6263565891472869
39,40,0.6081780538302277,0.6263565891472869
40,41,0.6081780538302277,0.6263565891472869
41,42,0.6076604554865425,0.6263565891472869
42,43,0.6076604554865425,0.6263565891472869
43,44,0.6071428571428571,0.6248062015503876
44,45,0.6066252587991718,0.6248062015503876
45,46,0.6086956521739131,0.627906976744186
46,47,0.6185300207039337,0.6387596899224807
47,48,0.6211180124223602,0.6341085271317829
48,49,0.6138716356107661,0.6139534883720931
49,50,0.610248447204969,0.6062015503875969
50,51,0.6195652173913043,0.6124031007751938
51,52,0.620600414078675,0.6077519379844961
52,53,0.6247412008281573,0.6062015503875969
53,54,0.6092132505175983,0.5968992248062015
54,55,0.6107660455486542,0.6015503875968993
55,56,0.6081780538302277,0.5937984496124031
56,57,0.6061076604554866,0.5906976744186047
57,58,0.6066252587991718,0.5906976744186047
58,59,0.6086956521739131,0.5953488372093023
59,60,0.6092132505175983,0.5953488372093023
60,61,0.6092132505175983,0.5953488372093023
61,62,0.6092132505175983,0.5937984496124031
62,63,0.6071428571428571,0.5953488372093023
63,64,0.605072463768116,0.5953488372093023
64,65,0.605072463768116,0.5953488372093023
65,66,0.6030020703933747,0.5953488372093023
66,67,0.6030020703933747,0.5953488372093023
67,68,0.6030020703933747,0.5953488372093023
68,69,0.6030020703933747,0.5953488372093023
69,70,0.6014492753623188,0.6
70,71,0.6009316770186336,0.5968992248062015
71,72,0.6024844720496895,0.5984496124031008
72,73,0.6019668737060041,0.5906976744186047
73,74,0.6019668737060041,0.5922480620155038
74,75,0.6035196687370601,0.5937984496124031
