learning_rate,training_score,testing_score,model
0.01,0.8566252587991718,0.8124031007751938,All Features
0.03,0.8907867494824017,0.8604651162790697,All Features
0.049999999999999996,0.8959627329192547,0.8713178294573644,All Features
0.06999999999999999,0.9026915113871635,0.8713178294573644,All Features
0.08999999999999998,0.9161490683229814,0.8713178294573644,All Features
0.10999999999999997,0.9239130434782609,0.8728682170542635,All Features
0.12999999999999998,0.9311594202898551,0.8852713178294573,All Features
0.15,0.9373706004140787,0.8868217054263566,All Features
0.16999999999999998,0.9332298136645962,0.8837209302325582,All Features
0.18999999999999997,0.9451345755693582,0.8821705426356589,All Features
0.20999999999999996,0.9420289855072463,0.8883720930232558,All Features
0.22999999999999998,0.9560041407867494,0.8821705426356589,All Features
0.24999999999999997,0.9580745341614907,0.8930232558139535,All Features
0.26999999999999996,0.9648033126293996,0.8837209302325582,All Features
0.29,0.9554865424430642,0.8697674418604651,All Features
0.30999999999999994,0.9720496894409938,0.8837209302325582,All Features
0.32999999999999996,0.967391304347826,0.8821705426356589,All Features
0.35,0.9679089026915114,0.8914728682170543,All Features
0.36999999999999994,0.968944099378882,0.8775193798449612,All Features
0.38999999999999996,0.9710144927536232,0.8806201550387597,All Features
0.4099999999999999,0.9798136645962733,0.8883720930232558,All Features
0.42999999999999994,0.9798136645962733,0.8821705426356589,All Features
0.44999999999999996,0.9803312629399586,0.8697674418604651,All Features
0.4699999999999999,0.9824016563146998,0.896124031007752,All Features
0.48999999999999994,0.9834368530020704,0.8713178294573644,All Features
0.5099999999999999,0.9875776397515528,0.8821705426356589,All Features
0.5299999999999999,0.9813664596273292,0.8682170542635659,All Features
0.5499999999999999,0.9824016563146998,0.8744186046511628,All Features
0.57,0.989648033126294,0.875968992248062,All Features
0.59,0.994824016563147,0.896124031007752,All Features
0.6099999999999999,0.989648033126294,0.875968992248062,All Features
0.6299999999999999,0.9880952380952381,0.8728682170542635,All Features
0.6499999999999999,0.9912008281573499,0.8821705426356589,All Features
0.6699999999999999,0.9886128364389234,0.8604651162790697,All Features
0.69,0.9937888198757764,0.8744186046511628,All Features
0.7099999999999999,0.989648033126294,0.8728682170542635,All Features
0.7299999999999999,0.9922360248447205,0.875968992248062,All Features
0.7499999999999999,0.9932712215320911,0.8713178294573644,All Features
0.7699999999999999,0.994824016563147,0.8635658914728682,All Features
0.7899999999999999,0.9958592132505176,0.8496124031007752,All Features
0.8099999999999998,0.9974120082815735,0.8837209302325582,All Features
0.8299999999999998,0.9963768115942029,0.8558139534883721,All Features
0.8499999999999999,0.9958592132505176,0.8728682170542635,All Features
0.8699999999999999,0.9963768115942029,0.8728682170542635,All Features
0.8899999999999999,0.9958592132505176,0.862015503875969,All Features
0.9099999999999999,0.9979296066252588,0.8852713178294573,All Features
0.9299999999999998,0.9963768115942029,0.8930232558139535,All Features
0.9499999999999998,1.0,0.8573643410852713,All Features
0.9699999999999999,0.9984472049689441,0.8837209302325582,All Features
0.9899999999999999,0.9974120082815735,0.8527131782945736,All Features
0.01,0.765527950310559,0.7565891472868217,Top 5 Chi2
0.03,0.8297101449275363,0.8077519379844961,Top 5 Chi2
0.049999999999999996,0.8462732919254659,0.8170542635658915,Top 5 Chi2
0.06999999999999999,0.8514492753623188,0.827906976744186,Top 5 Chi2
0.08999999999999998,0.8700828157349897,0.8325581395348837,Top 5 Chi2
0.10999999999999997,0.8778467908902692,0.834108527131783,Top 5 Chi2
0.12999999999999998,0.8773291925465838,0.8294573643410853,Top 5 Chi2
0.15,0.889751552795031,0.8465116279069768,Top 5 Chi2
0.16999999999999998,0.901656314699793,0.8558139534883721,Top 5 Chi2
0.18999999999999997,0.9083850931677019,0.8511627906976744,Top 5 Chi2
0.20999999999999996,0.9109730848861284,0.8666666666666667,Top 5 Chi2
0.22999999999999998,0.9161490683229814,0.8573643410852713,Top 5 Chi2
0.24999999999999997,0.9285714285714286,0.8744186046511628,Top 5 Chi2
0.26999999999999996,0.9316770186335404,0.8790697674418605,Top 5 Chi2
0.29,0.9492753623188406,0.8945736434108527,Top 5 Chi2
0.30999999999999994,0.9446169772256728,0.8837209302325582,Top 5 Chi2
