,Feature Set,Training Accuracy,Testing Accuracy,Recall,Precision
0,All Features,0.8198757763975155,0.8046511627906977,0.7880434782608695,0.8579881656804734
1,Top 5 Chi2,0.7675983436853002,0.737984496124031,0.7522123893805309,0.75
2,Machine Features,0.7391304347826086,0.7410852713178294,0.7528409090909091,0.7681159420289855
3,Weather Features,0.610248447204969,0.6093023255813953,0.7634961439588689,0.649890590809628
4,Quality Features,0.7525879917184265,0.7426356589147287,0.7402985074626866,0.7584097859327217
