,n,Training,Testing
0,1,0.5584886128364389,0.5457364341085271
1,2,0.5584886128364389,0.5457364341085271
2,3,0.5590062111801242,0.5472868217054263
3,4,0.5605590062111802,0.5488372093023256
4,5,0.5688405797101449,0.5519379844961241
5,6,0.6014492753623188,0.57984496124031
6,7,0.6423395445134575,0.6186046511627907
7,8,0.7049689440993789,0.6992248062015504
8,9,0.7060041407867494,0.7023255813953488
9,10,0.7080745341614907,0.703875968992248
10,11,0.7091097308488613,0.7054263565891473
11,12,0.7111801242236024,0.7085271317829457
12,13,0.7091097308488613,0.710077519379845
13,14,0.7049689440993789,0.7007751937984497
14,15,0.7018633540372671,0.7007751937984497
15,16,0.7039337474120083,0.6914728682170542
16,17,0.7028985507246377,0.7054263565891473
17,18,0.7065217391304348,0.7069767441860465
18,19,0.7096273291925466,0.7147286821705426
19,20,0.7236024844720497,0.7271317829457364
20,21,0.724120082815735,0.7286821705426356
21,22,0.724120082815735,0.7286821705426356
22,23,0.7272256728778468,0.7317829457364341
23,24,0.7313664596273292,0.7255813953488373
24,25,0.7370600414078675,0.724031007751938
25,26,0.734472049689441,0.7255813953488373
26,27,0.734472049689441,0.7271317829457364
27,28,0.7349896480331263,0.7147286821705426
28,29,0.7318840579710145,0.7178294573643411
29,30,0.7256728778467909,0.7178294573643411
30,31,0.7236024844720497,0.7178294573643411
31,32,0.7236024844720497,0.7116279069767442
32,33,0.7256728778467909,0.7116279069767442
33,34,0.7256728778467909,0.7116279069767442
34,35,0.7282608695652174,0.7131782945736435
35,36,0.727743271221532,0.7131782945736435
36,37,0.7282608695652174,0.7131782945736435
37,38,0.727743271221532,0.7131782945736435
38,39,0.7272256728778468,0.7131782945736435
39,40,0.7246376811594203,0.7162790697674418
40,41,0.724120082815735,0.7147286821705426
41,42,0.7246376811594203,0.7162790697674418
42,43,0.7256728778467909,0.7178294573643411
43,44,0.7256728778467909,0.7131782945736435
44,45,0.7236024844720497,0.7116279069767442
45,46,0.722567287784679,0.7131782945736435
46,47,0.7215320910973085,0.7131782945736435
47,48,0.7215320910973085,0.7147286821705426
48,49,0.7199792960662525,0.7162790697674418
49,50,0.7204968944099379,0.7147286821705426
50,51,0.7220496894409938,0.7162790697674418
51,52,0.722567287784679,0.7147286821705426
52,53,0.7215320910973085,0.7162790697674418
53,54,0.7194616977225673,0.7178294573643411
54,55,0.7194616977225673,0.7147286821705426
55,56,0.7204968944099379,0.7131782945736435
56,57,0.7215320910973085,0.7131782945736435
57,58,0.7215320910973085,0.7116279069767442
58,59,0.7215320910973085,0.7131782945736435
59,60,0.7210144927536232,0.7131782945736435
60,61,0.7215320910973085,0.7131782945736435
61,62,0.7199792960662525,0.7131782945736435
62,63,0.7199792960662525,0.7147286821705426
63,64,0.7199792960662525,0.7131782945736435
64,65,0.7199792960662525,0.7116279069767442
65,66,0.7199792960662525,0.7131782945736435
66,67,0.7210144927536232,0.7131782945736435
67,68,0.7210144927536232,0.7131782945736435
68,69,0.7230848861283644,0.7131782945736435
69,70,0.7230848861283644,0.7131782945736435
70,71,0.7220496894409938,0.7131782945736435
71,72,0.7220496894409938,0.7131782945736435
72,73,0.7215320910973085,0.7131782945736435
73,74,0.7215320910973085,0.7131782945736435
74,75,0.7215320910973085,0.7131782945736435
