,Feature Set,Training Accuracy,Testing Accuracy,Recall,Precision
0,All Features,1.0,0.8775193798449612,0.7863013698630137,0.8367346938775511
1,Top 5 Chi2,1.0,0.9302325581395349,0.7863013698630137,0.8367346938775511
2,Machine Features,0.9761904761904762,0.862015503875969,0.7863013698630137,0.8367346938775511
3,Weather Features,0.8571428571428571,0.8356589147286821,0.7863013698630137,0.8367346938775511
4,Quality Features,0.9989648033126294,0.9007751937984496,0.7863013698630137,0.8367346938775511
