,n,Training,Testing
0,1,0.562111801242236,0.5348837209302325
1,2,0.562111801242236,0.537984496124031
2,3,0.5843685300207039,0.5674418604651162
3,4,0.662008281573499,0.6728682170542636
4,5,0.6925465838509317,0.6961240310077519
5,6,0.6956521739130435,0.7007751937984497
6,7,0.7065217391304348,0.7085271317829457
7,8,0.7075569358178054,0.7085271317829457
8,9,0.7065217391304348,0.7085271317829457
9,10,0.7065217391304348,0.7085271317829457
10,11,0.703416149068323,0.7069767441860465
11,12,0.6992753623188406,0.703875968992248
12,13,0.6946169772256728,0.6992248062015504
13,14,0.6904761904761905,0.6945736434108527
14,15,0.6884057971014492,0.6945736434108527
15,16,0.6868530020703933,0.6914728682170542
16,17,0.6868530020703933,0.6914728682170542
17,18,0.6868530020703933,0.6914728682170542
18,19,0.6868530020703933,0.6914728682170542
19,20,0.6868530020703933,0.6914728682170542
20,21,0.6868530020703933,0.6914728682170542
21,22,0.6868530020703933,0.6914728682170542
22,23,0.6868530020703933,0.6914728682170542
23,24,0.6868530020703933,0.6914728682170542
24,25,0.6868530020703933,0.6914728682170542
25,26,0.6868530020703933,0.6914728682170542
26,27,0.6868530020703933,0.6914728682170542
27,28,0.6868530020703933,0.6914728682170542
28,29,0.6868530020703933,0.6914728682170542
29,30,0.6858178053830227,0.6914728682170542
30,31,0.6889233954451346,0.6883720930232559
31,32,0.6951345755693582,0.7007751937984497
32,33,0.6972049689440993,0.6930232558139535
33,34,0.6966873706004141,0.6930232558139535
34,35,0.7106625258799172,0.7131782945736435
35,36,0.7287784679089027,0.7333333333333333
36,37,0.7339544513457557,0.7410852713178294
37,38,0.7401656314699793,0.7410852713178294
38,39,0.7479296066252588,0.7472868217054264
39,40,0.7463768115942029,0.7534883720930232
40,41,0.7463768115942029,0.7534883720930232
41,42,0.7463768115942029,0.7534883720930232
42,43,0.7463768115942029,0.7534883720930232
43,44,0.7463768115942029,0.7534883720930232
44,45,0.7463768115942029,0.7534883720930232
45,46,0.7463768115942029,0.7534883720930232
46,47,0.7463768115942029,0.7534883720930232
47,48,0.7463768115942029,0.7534883720930232
48,49,0.7463768115942029,0.7534883720930232
49,50,0.7463768115942029,0.7534883720930232
50,51,0.7463768115942029,0.7534883720930232
51,52,0.7463768115942029,0.7534883720930232
52,53,0.7463768115942029,0.7534883720930232
53,54,0.7463768115942029,0.7534883720930232
54,55,0.7463768115942029,0.7534883720930232
55,56,0.7463768115942029,0.7534883720930232
56,57,0.7463768115942029,0.7534883720930232
57,58,0.7463768115942029,0.7534883720930232
58,59,0.7463768115942029,0.7534883720930232
59,60,0.7463768115942029,0.7534883720930232
60,61,0.7463768115942029,0.7534883720930232
61,62,0.7463768115942029,0.7534883720930232
62,63,0.7463768115942029,0.7534883720930232
63,64,0.7463768115942029,0.7534883720930232
64,65,0.7463768115942029,0.7534883720930232
65,66,0.7463768115942029,0.7534883720930232
66,67,0.7463768115942029,0.7534883720930232
67,68,0.7463768115942029,0.7534883720930232
68,69,0.7463768115942029,0.7534883720930232
69,70,0.7463768115942029,0.7534883720930232
70,71,0.7463768115942029,0.7534883720930232
71,72,0.7463768115942029,0.7534883720930232
72,73,0.7463768115942029,0.7534883720930232
73,74,0.7463768115942029,0.7534883720930232
74,75,0.7463768115942029,0.7534883720930232
