date_code,thickness,amb_tensile_pre_cure,amb_elongation_pre_cure,amb_elongation_result,amb_tensile_result,hot_tensile_result,hot_elongation_result,overall_result
17-B-1243,117.0,20.8,439.0,1,0,0,1,0
17-B-1244,117.0,18.9,723.0,1,0,0,1,0
17-B-1246,117.0,19.9,745.0,1,0,1,1,0
17-B-1247,117.0,20.2,539.0,1,0,0,1,0
17-B-1248,117.0,19.4,571.0,1,0,1,1,0
17-B-1249,117.0,20.4,464.0,1,0,1,1,0
17-B-1250,117.0,19.2,658.0,1,0,1,1,0
17-B-1251,117.0,19.4,469.0,1,0,1,1,0
17-B-1260,117.0,21.1,501.0,1,0,1,1,0
17-B-1261,117.0,21.0,508.0,1,0,1,1,0
17-B-1262,117.0,20.7,434.0,1,0,1,1,0
17-B-1263,117.0,21.5,457.0,1,0,0,1,0
17-B-1264,117.0,21.9,491.0,1,0,0,1,0
17-B-1265,117.0,21.3,510.0,1,0,0,1,0
17-B-1266,117.0,20.6,409.0,1,0,1,1,0
17-B-1267,117.0,21.3,437.0,1,0,1,1,0
17-B-1268,117.0,19.7,497.0,1,0,1,1,0
17-B-1269,117.0,20.5,469.0,1,0,1,1,0
17-B-1270,117.0,20.5,430.0,1,0,1,1,0
17-B-1272,117.0,20.8,375.0,1,1,0,1,0
17-B-1273,117.0,20.9,364.0,1,1,0,1,0
17-B-1274,117.0,20.8,409.0,1,1,1,1,1
17-B-1275,117.0,21.6,424.0,1,1,0,1,0
17-B-1276,117.0,21.2,534.0,1,1,1,1,1
17-B-1277,117.0,21.4,469.0,1,1,1,1,1
17-B-1278,117.0,20.3,486.0,1,0,0,1,0
17-B-1279,117.0,20.9,482.0,1,1,0,1,0
17-B-1280,117.0,20.0,353.0,1,0,0,1,0
17-B-1286,117.0,20.8,314.0,1,0,1,1,0
17-B-1287,117.0,21.1,258.0,1,0,1,1,0
17-B-1383,65.0,25.1,871.0,1,1,1,1,1
17-B-1384,65.0,22.3,584.0,1,1,1,1,1
17-B-1385,65.0,26.4,677.0,1,1,1,1,1
17-B-1387,65.0,27.4,707.0,1,1,1,1,1
17-B-1388,65.0,27.4,685.0,1,1,1,1,1
17-B-1389,65.0,29.0,689.0,1,1,1,1,1
17-B-1390,65.0,28.1,691.0,1,1,1,1,1
17-B-1392,65.0,26.4,683.0,1,1,1,1,1
17-B-1395,65.0,29.3,749.0,1,1,1,1,1
17-B-1397,65.0,26.1,659.0,1,1,1,1,1
17-B-1398,65.0,26.9,652.0,1,1,1,1,1
17-B-1399,65.0,24.8,602.0,1,1,1,1,1
17-B-1402,65.0,24.9,607.0,1,1,1,1,1
17-B-1403,65.0,28.7,721.0,1,1,1,1,1
17-B-1404,65.0,29.0,722.0,1,1,1,1,1
17-B-1405,65.0,27.5,708.0,1,1,1,1,1
17-B-1406,65.0,27.2,692.0,1,1,1,1,1
17-B-1408,65.0,26.6,737.0,1,1,1,1,1
17-B-1409,65.0,26.7,704.0,1,1,1,1,1
17-B-1414,65.0,19.6,539.0,1,1,1,1,1
17-B-1415,65.0,27.0,727.0,1,1,1,1,1
17-B-1416,65.0,26.2,680.0,1,1,1,1,1
17-B-1417,65.0,30.3,743.0,1,1,1,1,1
17-B-1418,65.0,29.8,738.0,1,1,1,1,1
17-B-1419,65.0,29.3,700.0,1,1,1,1,1
17-B-1420,65.0,28.0,673.0,1,1,1,1,1
17-B-1422,65.0,27.6,704.0,1,1,1,1,1
17-B-1423,117.0,19.7,482.0,1,0,1,1,0
17-B-1424,117.0,20.0,530.0,1,0,1,1,0
17-B-1425,117.0,19.6,494.0,1,1,1,1,1
17-B-1426,117.0,20.1,448.0,1,0,1,1,0
17-B-1427,117.0,19.5,491.0,1,0,1,1,0
17-B-1428,117.0,19.8,345.0,1,1,1,1,1
17-B-1429,117.0,18.8,385.0,1,0,1,1,0
17-B-1430,117.0,19.5,419.0,1,0,0,1,0
17-B-1431,117.0,19.9,476.0,1,1,1,1,1
17-B-1432,117.0,20.6,461.0,1,1,0,1,0
17-B-1433,117.0,19.1,427.0,1,1,1,1,1
17-B-1434,117.0,19.7,446.0,1,1,1,1,1
17-B-1435,117.0,18.3,660.0,1,0,1,1,0
17-B-1436,117.0,19.1,728.0,1,0,1,1,0
17-B-1437,117.0,20.2,696.0,1,1,1,1,1
17-B-1438,117.0,19.9,674.0,1,0,1,1,0
17-B-1439,117.0,18.7,100.1,1,0,1,1,0
17-B-1440,117.0,19.5,563.0,1,0,1,1,0
17-B-1441,117.0,19.9,543.0,1,0,1,1,0
17-B-1442,117.0,19.7,435.0,1,1,1,1,1
17-B-1443,117.0,19.8,469.0,1,1,1,1,1
17-B-1444,117.0,20.5,515.0,1,0,0,1,0
17-B-1445,117.0,19.9,470.0,1,1,0,1,0
17-B-1446,117.0,19.8,379.0,1,1,0,1,0
17-B-1447,117.0,20.8,331.0,1,1,0,1,0
17-B-1448,117.0,21.1,354.0,1,1,0,1,0
17-B-1449,117.0,19.8,439.0,1,1,0,1,0
17-B-1450,117.0,20.4,501.0,1,1,0,1,0
17-B-1451,117.0,20.3,598.0,1,1,0,1,0
17-B-1452,117.0,19.7,416.0,1,1,0,1,0
17-B-1453,117.0,19.6,597.0,1,1,0,1,0
17-B-1454,117.0,20.7,596.0,1,1,0,1,0
17-B-1455,117.0,19.8,385.0,1,1,1,1,1
17-B-1456,117.0,20.7,318.0,1,0,1,1,0
17-B-1459,117.0,21.0,486.0,1,1,0,1,0
17-B-1460,117.0,20.7,458.0,1,1,0,1,0
17-B-1461,117.0,21.2,405.0,1,0,1,1,0
17-B-1462,117.0,21.3,524.0,1,1,0,1,0
17-B-1463,117.0,21.1,487.0,1,1,1,1,1
17-B-1464,117.0,21.6,507.0,1,1,1,1,1
17-B-1465,117.0,20.5,524.0,1,1,0,1,0
17-B-1466,117.0,20.6,449.0,1,1,0,1,0
17-B-1469,117.0,20.7,353.0,1,1,1,1,1
17-B-1470,117.0,20.9,327.0,1,0,0,1,0
17-B-1473,117.0,20.3,382.0,1,1,1,1,1
17-B-1474,117.0,20.8,490.0,1,1,1,1,1
17-B-1475,117.0,21.6,484.0,1,1,1,1,1
17-B-1476,117.0,22.1,440.0,1,1,1,1,1
17-B-1477,117.0,20.8,444.0,1,1,1,1,1
17-B-1478,117.0,21.2,400.0,1,1,1,1,1
17-B-1481,117.0,19.9,536.0,1,1,1,1,1
17-B-1482,117.0,21.5,452.0,1,1,1,1,1
17-B-1483,117.0,20.7,471.0,1,1,1,1,1
17-B-1484,117.0,20.8,471.0,1,1,1,1,1
17-B-1485,117.0,20.3,542.0,1,1,0,1,0
17-B-1486,117.0,21.1,538.0,1,0,1,1,0
17-B-1572,117.0,20.4,683.0,1,1,1,1,1
17-B-1573,117.0,20.3,627.0,1,1,0,1,0
17-B-1574,117.0,21.0,510.0,1,0,0,1,0
17-B-1575,117.0,20.3,1.63,1,1,0,1,0
17-B-1576,117.0,19.8,471.0,0,0,1,1,0
17-B-1577,117.0,20.5,620.0,1,1,1,1,1
17-B-1578,117.0,21.5,682.0,1,1,0,1,0
17-B-1579,117.0,20.1,593.0,1,1,0,1,0
17-B-1580,117.0,20.4,658.0,1,0,0,1,0
17-B-1581,117.0,20.5,566.0,1,1,0,1,0
17-B-1582,117.0,20.3,546.0,1,1,0,1,0
17-B-1583,117.0,20.8,534.0,1,1,0,1,0
17-B-1584,117.0,20.2,562.0,1,1,0,1,0
17-B-1585,117.0,20.7,591.0,1,1,0,1,0
17-B-1586,117.0,20.1,328.0,1,1,0,1,0
17-B-1587,117.0,20.5,320.0,1,1,1,1,1
17-B-1588,117.0,19.5,366.0,1,1,0,1,0
17-B-1589,117.0,20.1,346.0,1,1,0,1,0
17-B-1590,117.0,19.12,341.0,1,1,0,1,0
17-B-1591,117.0,18.6,283.0,1,1,0,1,0
17-B-1592,117.0,19.1,345.0,1,1,1,1,1
17-B-1593,117.0,19.2,363.0,1,1,0,1,0
17-B-1594,117.0,19.5,369.0,1,1,1,1,1
17-B-1595,117.0,19.6,499.0,1,1,1,1,1
17-B-1596,117.0,20.2,521.0,1,1,0,1,0
17-B-1597,117.0,21.3,441.0,1,1,1,1,1
17-B-1598,117.0,20.7,484.0,1,1,0,1,0
17-B-1599,117.0,21.0,452.0,1,1,0,1,0
17-B-1600,117.0,20.2,383.0,1,1,1,1,1
17-B-1601,117.0,20.2,649.0,1,1,1,1,1
17-B-1602,117.0,20.2,476.0,1,1,0,1,0
17-B-1603,117.0,20.9,505.0,1,1,0,1,0
17-B-1604,117.0,20.9,444.0,1,0,0,1,0
17-B-1605,117.0,20.5,451.0,1,0,0,1,0
17-B-1606,117.0,20.5,440.0,1,0,0,1,0
